size,text
86,研究
78,投資
76,目標
66,算法
65,最佳
58,演算
57,演算法
54,存貨
51,模型
49,組合
48,多目標
48,資組合
47,投資組合
45,企業
45,資料
43,最佳化
43,風險
42,系統
40,管理
39,本研究
35,使用
33,分析
33,決策
30,規則
27,問題
26,利用
26,結果
26,網路
26,資訊
25,發展
25,進行
23,不同
23,技術
22,進化
21,學習
21,式演算
21,微粒群
21,探勘
21,進化式
20,凌越
20,式演算法
20,績效
19,應用
19,機制
18,合作
18,成本
18,提供
18,柏拉圖
18,目標最佳化
18,進化式演算
17,圖書
17,多目標最佳化
17,探討
17,模式
17,透過
17,進化式演算法
17,運用
17,非凌越
16,中的
16,存貨管理
16,平均
16,規劃
16,選擇
16,重要
15,APS
15,傳統
15,分類
15,對於
15,廣告
15,時間
15,評估
15,賽局
15,限制
15,雙方
14,因此
14,投資者
14,效率
14,求解
14,產業
14,的解
14,要的
14,電腦
13,參考
13,強健柏
13,影響
13,微粒群最佳化
13,條件
13,研發
13,變異數
13,軟體
12,供應
12,圖書資訊
12,年來
12,延遲
12,強健柏拉圖
12,指標
12,控制
12,教學
12,方法
12,權重
12,比較
12,的問
12,處理
12,重要的
11,ERP
11,出的
11,台灣
11,基因演算法
11,多目標微粒群
11,專案
11,排序
11,提出
11,提升
11,損失
11,數位
11,方式
11,有效
11,本研究以
11,的問題
11,第二
11,統的
11,製造
11,近年
11,零售
10,以及
10,供應鏈
10,信用
10,健柏拉圖進化式演
10,圖書資訊利用
10,報酬
10,多目標微粒群最佳
10,大的
10,存貨控制
10,學生
10,工作
10,差異
10,市場
10,強健柏拉圖進化式
10,拉圖進化式演算法
10,最適
10,柏拉圖進化式演算
10,產品
10,的存
10,的資
10,目標微粒群最佳化
10,科技
10,第二代
10,缺貨
10,衡量
10,製造商
10,許多
10,近年來
10,關係
10,離群值
10,零售商
9,上的
9,並且
9,合的
9,同的
9,大多
9,如何
9,所提
9,採用
9,接受
9,效益
9,整合
9,時間延遲
9,最後
9,業的
9,用教
9,由於
9,的存貨
9,的最
9,相關
9,績效評
9,課程
9,資源
9,非凌越排序
9,領域
8,不同的
8,之研究
8,互動
8,企業的
8,凌越排序基因演算
8,分類規則
8,化的
8,可行
8,圖書資訊利用教
8,均衡
8,基於
8,教育
8,最佳解
8,最適投資
8,測試
8,為基礎
8,發現
8,究結果
8,設計
8,資料探勘
8,越排序基因演算法
8,集成
8,需要
8,非凌越排序基因演
8,非凌越解
8,類神經網路
7,主機板
7,之非
7,估計
7,使得
7,到的
7,各種
7,合作廣告
7,同時
7,地區
7,增加
7,多的
7,專業
7,導入
7,層面權重為
7,平均數
7,建議
7,式多目標
7,微粒群演算法
7,快速
7,性的
7,應用效益
7,教材
7,方的
7,是否
7,服務
7,標的
7,永續
7,法的
7,用性
7,用教學
7,用的
7,的風險
7,研究結果
7,確定
7,程中
7,穩健
7,系統的
7,經濟
7,績效評估
7,能夠
7,行為
7,衝突
7,規模
7,評等
