size,text
29,研究
23,火災
21,政見
19,網路
19,資料
16,本研究
15,分析
15,探勘
14,行為
14,選民
13,影響
13,投票
13,選舉
12,資料探勘
11,模糊
11,社群
11,選人
10,排名
9,候選人
9,決策樹
9,無線
9,進行
8,學生
8,投票行為
8,資訊
7,地區
7,建築
7,成為
7,技術
7,探討
7,無線網路
7,結果
7,虛擬社群
6,實驗
6,建築物
6,從眾
6,發現
6,發生
6,的影響
6,相關
6,自動機
6,運用
6,預測
5,問題
5,平均
5,從眾行為
5,樣本
5,班級
5,用資料探勘
5,資料探勘技術
5,透過
5,選民的
5,隨著
4,Decision
4,tree
4,事件
4,住宿
4,使用
4,利用
4,可以
4,同時
4,學生排名
4,對於
4,提供
4,政治
4,政見對
4,本實驗
4,模糊平均
4,模糊自動機
4,民對
4,消防
4,產生
4,發展
4,的投票
4,科技
4,節日
4,級學生
4,調查
4,重大
4,針對
4,顧客
4,飯店
3,C5.0
3,Data
3,Kano
3,mining
3,不同的
3,主要
3,之影響
3,人口
3,人的
3,住宿意願
3,作為
3,公式
3,原因
3,參考
3,取向
3,台北市
3,台灣
3,各地區
3,因素
3,媒體
3,密度
3,對選
3,市長
3,建築物樓層
3,建築物結構
3,我們
3,所造成的損
3,採用
3,提供給
3,改善
3,時代
3,最大
3,本研究以
3,本研究的
3,根據
3,模型
3,演算法
3,火災發生
3,火災等級
3,火災資料
3,為例
3,班級學生排名
3,理論
3,生活
3,發表
3,的分
3,的發展
3,相關研究
3,研究結果
3,科技的
3,藉由
3,行政
3,規則
3,記錄
3,運用資料探勘
3,過去
3,選民投票
3,選民的投票
3,鄉民
3,關單位
3,關聯
3,階段
3,飯店業
3,驗證
2,Average
2,Fuzzy
2,一個
2,上的
2,不同的節日特徵
2,並且
2,並提
2,中有
2,之一
2,之問題
2,之政見
2,之樣本
2,之重
2,也成為
2,人民
2,人與
2,依據
2,們可以
2,偏好
2,做出
2,公民
2,具有
2,切的
2,制的
2,區火災
2,即時
2,及建築物
2,取得
2,另外
2,台北市長選舉為例
2,各地區選民
2,同時也
2,因此
2,團體
2,地點
2,增加
2,如何
2,實驗的
2,對候選人
2,對顧客
2,已成為
2,年台北市長選舉為
2,式分析
2,快速的
2,情境
2,成為人
2,成績作為
2,所造成的損失
2,找出
2,技術進行政見
2,投票意向
2,投票行為的
2,探討政見對
2,提供給相關單位
2,提出
2,政見之
2,政見對選民
2,整合
2,文化
2,新的
2,方法
2,方面
2,時間
2,期望
2,未來選
2,本研究將
2,本研究運用資料探
2,某市消防局
2,模式
2,模糊平均公式
2,模糊理論
2,民主
2,深度訪談
2,火災事件的
2,火災記錄進行
2,為本
2,為選
2,無線網路使用
2,無線網路的使用需
2,然而
2,獲取
2,現實
2,生活中
2,產生從眾行為
2,用決策樹
2,用資料探勘技術
2,當火災發生
2,當選
2,發生原因
2,的在
2,的從
2,的政見
2,的模糊
2,的火災
2,的特
2,的生活
2,的結果
2,的重
2,皆有
2,目標
2,目的
2,相當
2,研究結果發現
2,研究能
2,研究運用資料探勘
2,確實
2,社群中
2,票之
2,科技的發展
2,穩定度對
2,第二
2,策略
2,經濟
2,網路社群
2,網路虛擬社群
2,總統
2,考量
2,聯繫
2,能夠
2,自己
2,臺灣
2,著經
2,著重在
2,蒐集
2,角度
2,解決排名問題
2,解讀火災
2,設計
2,評論
2,認同
2,認為
2,資料分析後發現
2,資訊科技
2,起火處所
2,進而
2,進行分析
2,進行探
2,選人的
2,選前
2,選民對
2,選民投票行為
2,選民的影響
2,選民的投票行為
2,選票
2,都市
2,重要
2,重點
2,關聯法則
2,限制
2,需要
2,預測模型
2,領域
2,顧客滿意度
2,飯店業者
2,高的
